#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-1147216.5863972409,249.91272717458176
2000,-1095123.0863972409,283.5820225396786
3000,-1073153.0863972409,296.68544682258545
4000,-1069912.0863972409,301.30869943614516
5000,-1070892.0863972409,300.2364409331958
6000,-1069800.5863972409,299.7497690712197
7000,-1068710.5863972409,300.2855852288459
8000,-1069357.0863972409,299.16578544245544
9000,-1071488.0863972409,301.2915121032792
10000,-1069736.0863972409,298.7699248014395
